Кандзи,Кана,Перевод,Уровень
お蔭,おかげ,Вашими молитвами,4
お蔭様で,おかげさまで,слава богу、Вашими молитвами,4
可笑しい,おかしい,смешной、забавный、неуместный,4
置き,おき,через… с промежутками…,4
億,おく,сто миллионов,4
屋上,おくじょう,на крыше,4
贈り物,おくりもの,подарок,4
遅れる,おくれる,опаздывать,4
お子さん,おこさん,Ваш ребенок,4
起こす,おこす,будить、порождать、выкапывать из земли,4
行(な)う,おこなう,проводить、осуществлять、вести себя,4
怒る,おこる,сердиться,4
押(し)入れ,おしいれ,стенной шкаф,4
お嬢さん,おじょうさん,Ваша дочь,4
御大事に,おだいじに,Берегите себя!,4
お宅,おたく,Ваш дом,4
落ちる,おちる,падать、терпеть поражение、заходить (о солнце),4
仰る・仰っしゃる,おっしゃる,говорить (вежл. о собеседнике),4
音,おん・おと,звук,4
落とす,おとす,ронять、понижать、уменьшать、упускать,4
踊り,おどり,танец,4
踊る,おどる,танцевать,4
驚く,おどろく,удивляться、пугаться,4
叔母,おば,тетя,4
お待たせしました,おまたせしました,извините、что заставил Вас ждать,4
御祭り,おまつり,праздник,4
御見舞い,おみまい,посещение больного、справлять о здоровье,4
御土産,おみやげ,сувенир、подарок,4
お目出度う(御座居ます),おめでとう(ございます),Поздравляю!,4
思い出す,おもいだす,вспоминать,4
思う,おもう,думать、считать、полагать、хотеть、собираться、заботиться,4
玩具,おもちゃ,игрушка,4
表,おもて,лицевая сторона、внешность、наружность、фасад,4
,おや,ой、ах、как、вот те на!,4
下りる,おりる,спускаться、сходить вниз,4
居る,おる,быть (вежл.),4
御礼,おれい,поклон、вежливость、благодарность,4
折れる,おれる,ломаться、быть сломанным、поворачивать,4
終わり,おわり,конец,4
家,か,семья…,4
,カーテン,занавеска,4
会,かい,общество…、собрание…,4
海岸,かいがん,берег моря,4
会議,かいぎ,собрание、совещание、заседание、конференция,4
会場,かいじょう,концертный зал、зал заседаний,4
会話,かいわ,разговор、беседа、разговорная речь,4
帰り,かえり,возвращение,4
変える,かえる,менять、изменять,4
科学,かがく,наука,4
鏡,かがみ,зеркало,4
学部,がくぶ,факультет、кафедра,4
掛ける,かける,вешать、садиться、доставлять (беспокойство),4
飾る,かざる,украшать、приукрашивать、демонстрировать,4
家事,かじ,домашние дела,4
畏まりました,かしこまりました,слушаюсь!,4
,ガソリン,бензин,4
,ガソリンスタンド,автозаправка,4
方,かた,способ…、манера…,4
形,かたち,форма、вид,4
片付ける,かたづける,приводить в порядок、убирать,4
勝つ,かつ,побеждать、выигрывать,4
格好・恰好,かっこう,внешний вид、облик、фигура,4
悲しい,かなしい,печальный、грустный,4
必ず,かならず,обязательно、непременно,4
(お)金持ち,(お)かねもち,богач,4
彼女,かのじょ,она、любимая (разг.),4
壁,かべ,стена,4
構いません,かまいません,всё равно、можно、не возражаю,4
髪,かみ,волосы,4
咬む・噛む,かむ,кусать、жевать,4
通う,かよう,ходить (туда и обратно)、курсировать、посещать (школу),4
,ガラス,стекло,4
彼,かれ,он、любимый (разг.),4
彼等,かれら,они,4
乾く,かわく,сохнуть、высыхать,4
代わり（に）,かわり（に）,замена、компенсация,4
変わる,かわる,меняться、изменяться,4
考える,かんがえる,думать、размышлять、представлять себе、учитывать,4
関係,かんけい,отношения、связь、касательство,4
看護婦,かんごふ,медсестра,4
簡単,かんたん,простой、краткий,4
頑張る,がんばる,держаться (до конца)、не сдаваться、упорствовать,4
